Time,x,y,z
1186067,-178.6359254113799,-1.0505371117556048,-125.86571602040424
1186167,-178.63302500339066,-1.0601316587973306,-125.85021657124719
1186267,-178.62679663699612,-1.0633140115246482,-125.85031234289568
1186463,-178.6140569934183,-1.053853920535262,-125.8659566581626
1186564,-178.62037016552173,-1.066167753821452,-125.87545868441248
1186664,-178.6327830889159,-1.05990151266618,-125.87208520832178
1186764,-178.63909482499918,-1.0722174330982785,-125.88158502308939
1186864,-178.6609638996104,-1.0689035921187995,-125.88134163444843
1187163,-178.66737979145844,-1.081498176973178,-125.87201634399209
1187263,-178.6706037001338,-1.0876302554534765,-125.87524025266748
1187363,-178.66762482702387,-1.0817210956660417,-125.85014747832675
1187462,-178.67385325524248,-1.0785387078726254,-125.85005183947146
1187562,-178.67698228033484,-1.0846285716877844,-125.85950493163773
1187662,-178.6644947443792,-1.0756320240867754,-125.8406933286082
1187812,-178.6989045324046,-1.0814461314979613,-125.84984903407562
1187916,-178.6989045324046,-1.0814461314979613,-125.84984903407562
1188016,-178.70507883443616,-1.078128710181232,-125.85916549016002
1188116,-178.69258080639048,-1.0845876348358816,-125.85617276008976
1188307,-178.69885028836808,-1.0813105545432815,-125.85926023392294
1188412,-178.70498426318932,-1.0780882760594301,-125.86539420874416
1188511,-178.70507883443616,-1.078128710181232,-125.85916549016002
1188611,-178.70484880007643,-1.0624510765875097,-125.86521872371924
1188710,-178.69871400470524,-1.0656738238708086,-125.85908392834803
1188810,-178.6893030825496,-1.062628241978516,-125.85913662168916
1188913,-178.68002843953633,-1.0752193433984563,-125.85936769591419
1189111,-178.6799333311584,-1.0751774669612237,-125.86559639168358
1189213,-178.67375778899375,-1.0784965947066572,-125.85628044029666
1189313,-178.6645252062445,-1.0909921278215688,-125.85969703164648
1189560,-178.66761089892773,-1.0971776013137884,-125.86596786458465
1189661,-178.6831957157361,-1.0969050390979698,-125.87522731129324
1189761,-178.68006869032874,-1.090814557113307,-125.8657752624725
1189910,-178.68652937716,-1.1033108318412455,-125.85962872066256
1190009,-178.68971174455595,-1.1095382514015886,-125.85966929190492
1190109,-178.68643292186152,-1.1032700888371278,-125.86585746808963
1190208,-178.68652937716,-1.1033108318412455,-125.85962872066256
1190308,-178.67702189760138,-1.1002238474970878,-125.86591291662724
1190509,-178.6894247184537,-1.0937240944667368,-125.87513129059745
